Picado P, Picado S, Amplitud
1/25/2018 9:50:26,1/17/2018 17:55:57,2152.351562500000000
1/25/2018 9:50:49,1/17/2018 20:04:32,1003.495056152343750
1/25/2018 9:51:14,1/17/2018 20:23:38,1520.719360351562500
1/25/2018 10:19:00,1/18/2018 14:20:40,1250.191528320312500
1/25/2018 10:21:25,1/18/2018 15:41:53,3216.591796875000000
1/25/2018 10:21:35,1/18/2018 15:50:27,1063.235595703125000
1/25/2018 11:12:20,1/19/2018 1:14:58,35697.023437500000000
1/25/2018 11:15:29,1/19/2018 12:18:08,1158.065063476562500
1/25/2018 11:15:40,1/19/2018 12:35:13,2124.782470703125000
1/25/2018 11:15:53,1/19/2018 13:57:18,1311.216796875000000
1/25/2018 11:16:05,1/19/2018 14:06:10,1845.518310546875000
1/25/2018 11:16:19,1/19/2018 14:46:38,18046.291015625000000
1/25/2018 11:16:28,1/19/2018 15:37:05,2300.217773437500000
1/25/2018 11:16:41,1/19/2018 16:29:10,2939.141357421875000
1/25/2018 11:16:55,1/19/2018 17:09:42,18381.136718750000000
1/25/2018 11:17:18,1/19/2018 21:01:26,1055.792968750000000
1/25/2018 11:18:55,1/20/2018 4:07:21,1702.357910156250000
1/25/2018 11:18:58,1/20/2018 4:07:52,1024.891235351562500
1/25/2018 11:19:14,1/20/2018 5:12:12,2541.277587890625000
1/25/2018 11:19:47,1/20/2018 9:36:26,1843.909667968750000
1/25/2018 11:21:03,1/20/2018 21:45:40,4219.078125000000000
1/25/2018 11:27:18,1/21/2018 10:28:37,4192.443847656250000
1/25/2018 11:27:36,1/21/2018 11:09:58,1422.809570312500000
1/25/2018 11:29:01,1/21/2018 17:09:42,3846.062988281250000
1/25/2018 11:30:09,1/21/2018 20:18:24,2275.336425781250000
1/25/2018 11:30:51,1/21/2018 21:21:29,1763.983398437500000
1/25/2018 11:36:26,1/22/2018 10:19:21,1895.160522460937500
1/25/2018 11:37:19,1/22/2018 10:25:22,1469.221191406250000
1/25/2018 11:38:13,1/22/2018 19:18:32,2119.931396484375000
1/25/2018 11:38:31,1/22/2018 21:16:35,2269.847167968750000
1/25/2018 11:38:49,1/22/2018 22:07:45,1275.372436523437500
1/25/2018 11:40:04,1/22/2018 23:34:59,1552.156250000000000
1/25/2018 11:41:02,1/23/2018 4:10:47,1934.664916992187500
1/25/2018 11:42:43,1/23/2018 19:50:03,6358.365722656250000
1/25/2018 11:44:36,1/23/2018 20:20:02,2740.995849609375000
1/25/2018 11:44:54,1/23/2018 22:14:09,1014.394104003906250
1/25/2018 11:46:11,1/24/2018 3:04:12,1608.391113281250000
1/25/2018 11:46:50,1/24/2018 5:57:14,2192.673339843750000
1/25/2018 11:47:10,1/24/2018 6:04:27,1319.560668945312500
1/25/2018 11:47:47,1/24/2018 12:57:41,1858.520507812500000
1/29/2018 10:14:41,1/25/2018 12:27:17,1231.275756835937500
1/29/2018 10:15:46,1/25/2018 12:50:34,1683.138793945312500
1/29/2018 10:17:08,1/25/2018 16:44:13,1884.978149414062500
1/29/2018 10:17:39,1/25/2018 17:22:57,1887.280517578125000
1/29/2018 10:18:44,1/25/2018 19:02:51,3146.158203125000000
1/29/2018 10:19:48,1/26/2018 1:35:11,11787.397460937500000
