Tiempo inicio de picado,Tiempo Fin de picado,Amplitud,Excepción
2018-01-01T02:11:39.960000Z,2018-01-01T02:11:57.980000Z,1030.1705630544993,No
2018-01-01T02:47:01.900000Z,2018-01-01T02:47:11.860000Z,698.5142500160606,No
2018-01-01T03:02:30.520000Z,2018-01-01T03:03:19.020000Z,1644.6754679158455,No
2018-01-01T03:57:18.760000Z,2018-01-01T03:58:10.700000Z,3323.536353521949,Si.
2018-01-01T04:22:30.680000Z,2018-01-01T04:22:43.480000Z,678.3473757509422,No
2018-01-01T05:39:50.940000Z,2018-01-01T05:40:09.100000Z,660.8537738241657,No
2018-01-01T06:38:25.740000Z,2018-01-01T06:38:36.580000Z,564.343031219911,No
2018-01-01T09:05:46.360000Z,2018-01-01T09:05:59.180000Z,1891.2584206684064,No
2018-01-01T09:19:11.940000Z,2018-01-01T09:19:33.660000Z,5703.191928089932,No
2018-01-01T09:47:46.580000Z,2018-01-01T09:48:06.280000Z,1021.9083794212232,No
2018-01-01T10:19:05.480000Z,2018-01-01T10:19:24.540000Z,2084.977066756875,No
2018-01-01T10:33:53.160000Z,2018-01-01T10:34:12.180000Z,623.9012103620776,No
2018-01-01T11:00:06.580000Z,2018-01-01T11:00:35.620000Z,589.4948636233083,No
2018-01-01T11:10:26.680000Z,2018-01-01T11:10:44.800000Z,761.5665291999064,No
2018-01-01T11:20:16.680000Z,2018-01-01T11:20:44.000000Z,2950.1644695727014,No
2018-01-01T13:29:46.980000Z,2018-01-01T13:30:08.020000Z,1663.0062518874604,No
2018-01-01T14:24:22.100000Z,2018-01-01T14:24:55.620000Z,33379.69082560658,No
2018-01-01T14:29:02.900000Z,2018-01-01T14:29:31.400000Z,1202.328699014794,No
2018-01-01T14:39:41.980000Z,2018-01-01T14:40:17.640000Z,2945.2284269422435,Si.
2018-01-01T15:55:35.080000Z,2018-01-01T15:55:47.640000Z,606.1885734392323,No
2018-01-01T16:17:51.780000Z,2018-01-01T16:18:41.900000Z,585.745562117556,No
2018-01-01T17:02:43.200000Z,2018-01-01T17:02:55.500000Z,578.2646788907829,No
2018-01-01T17:15:30.880000Z,2018-01-01T17:15:43.680000Z,1397.852529646017,No
2018-01-01T17:42:33.840000Z,2018-01-01T17:42:53.300000Z,1859.109079712918,No
2018-01-01T18:29:39.080000Z,2018-01-01T18:29:57.100000Z,2826.3089728935106,Si.
2018-01-01T19:16:40.680000Z,2018-01-01T19:16:54.580000Z,752.1394361872128,No
2018-01-01T19:18:14.080000Z,2018-01-01T19:18:38.480000Z,953.294247608876,No
2018-01-01T19:28:23.060000Z,2018-01-01T19:30:51.420000Z,651.070232455452,No
2018-01-01T19:39:19.900000Z,2018-01-01T19:39:37.200000Z,2265.190740014549,Si.
2018-01-01T19:48:44.760000Z,2018-01-01T19:49:02.220000Z,541.386244939533,No
2018-01-01T20:21:05.680000Z,2018-01-01T20:21:22.340000Z,4847.427020691851,No
2018-01-01T20:32:53.600000Z,2018-01-01T20:33:08.340000Z,1098.428121909106,No
2018-01-01T21:47:10.080000Z,2018-01-01T21:47:33.120000Z,622.2029848608023,No
2018-01-02T01:12:18.000000Z,2018-01-02T01:12:38.400000Z,1042.1238399196511,Si.
2018-01-02T02:52:42.200000Z,2018-01-02T02:53:55.260000Z,6079.512537342135,Si.
2018-01-02T03:08:45.660000Z,2018-01-02T03:09:03.160000Z,1436.6957703464263,No
2018-01-02T03:09:33.120000Z,2018-01-02T03:09:49.900000Z,2994.766724158739,No
2018-01-02T06:25:11.460000Z,2018-01-02T06:25:27.260000Z,539.2332598764658,No
2018-01-02T12:09:19.520000Z,2018-01-02T12:09:36.460000Z,666.248588790557,No
2018-01-02T15:06:08.180000Z,2018-01-02T15:06:21.580000Z,732.8614181072443,No
2018-01-02T15:41:39.620000Z,2018-01-02T15:42:47.980000Z,621.2794443461166,No
2018-01-02T16:42:24.940000Z,2018-01-02T16:42:44.600000Z,1918.6751610079261,Si.
2018-01-02T17:45:50.660000Z,2018-01-02T17:46:09.960000Z,644.8310287055514,No
2018-01-02T18:54:55.120000Z,2018-01-02T18:55:19.100000Z,10597.706980689592,No
2018-01-02T20:09:27.560000Z,2018-01-02T20:09:46.760000Z,1019.2155602158646,No
2018-01-02T20:52:52.740000Z,2018-01-02T20:53:13.420000Z,1472.5854771429638,No
2018-01-02T21:29:41.360000Z,2018-01-02T21:29:58.940000Z,1025.2333293810395,No
2018-01-02T23:58:29.320000Z,2018-01-02T23:58:51.980000Z,676.0329446865527,No
2018-01-03T00:32:37.380000Z,2018-01-03T00:33:32.220000Z,711.1293490499612,No
2018-01-03T00:40:07.360000Z,2018-01-03T00:40:26.960000Z,874.2331212221146,Si.
2018-01-03T00:40:32.280000Z,2018-01-03T00:40:56.720000Z,6129.1931382978255,Si.
2018-01-03T01:33:03.040000Z,2018-01-03T01:34:18.520000Z,735.4640174169251,No
2018-01-03T02:07:33.980000Z,2018-01-03T02:07:44.480000Z,1045.20905536214,No
2018-01-03T02:10:20.660000Z,2018-01-03T02:10:38.140000Z,1853.044375978878,No
2018-01-03T02:11:35.960000Z,2018-01-03T02:11:50.300000Z,1079.0746972663662,No
2018-01-03T06:45:48.760000Z,2018-01-03T06:46:06.300000Z,1434.4247380515408,No
2018-01-03T06:48:10.600000Z,2018-01-03T06:48:25.120000Z,600.2024282945972,No
2018-01-03T07:22:24.680000Z,2018-01-03T07:22:41.420000Z,1746.7391234520403,No
2018-01-03T09:03:27.000000Z,2018-01-03T09:05:44.940000Z,543.3270388857156,No
2018-01-03T09:20:40.080000Z,2018-01-03T09:21:36.680000Z,798.3573374905529,No
2018-01-03T10:22:28.560000Z,2018-01-03T10:23:01.420000Z,510.5605012533064,No
2018-01-03T12:32:40.440000Z,2018-01-03T12:32:55.940000Z,889.5116967360668,No
2018-01-03T16:50:40.140000Z,2018-01-03T16:51:13.540000Z,988.2892822173192,No
2018-01-03T22:21:36.740000Z,2018-01-03T22:21:53.700000Z,691.670841087992,No
2018-01-03T22:59:34.500000Z,2018-01-03T22:59:54.400000Z,4600.319034723791,No
2018-01-03T23:52:55.720000Z,2018-01-03T23:53:13.420000Z,616.8724664992558,No
2018-01-04T02:41:35.520000Z,2018-01-04T02:41:59.580000Z,1173.098379423742,No
2018-01-04T03:15:10.260000Z,2018-01-04T03:15:28.220000Z,815.1386883435405,No
