Resultados

 Tiempo inicio de picado, Tiempo Fin de picado 
2018-01-01T02:11:39.960000Z, 2018-01-01T02:11:57.120000Z
2018-01-01T03:03:07.000000Z, 2018-01-01T03:03:18.320000Z
2018-01-01T03:57:18.780000Z, 2018-01-01T03:58:05.340000Z
2018-01-01T09:05:46.500000Z, 2018-01-01T09:05:58.460000Z
2018-01-01T09:19:12.060000Z, 2018-01-01T09:19:32.500000Z
2018-01-01T09:47:46.620000Z, 2018-01-01T09:48:04.200000Z
2018-01-01T10:19:05.520000Z, 2018-01-01T10:19:22.920000Z
2018-01-01T10:21:42.220000Z, 2018-01-01T10:21:50.160000Z
2018-01-01T11:20:29.320000Z, 2018-01-01T11:20:43.100000Z
2018-01-01T13:29:47.360000Z, 2018-01-01T13:30:07.160000Z
2018-01-01T14:24:22.100000Z, 2018-01-01T14:24:52.420000Z
2018-01-01T14:29:03.260000Z, 2018-01-01T14:29:30.620000Z
2018-01-01T14:39:42.000000Z, 2018-01-01T14:40:15.440000Z
2018-01-01T17:15:30.920000Z, 2018-01-01T17:15:42.900000Z
2018-01-01T17:42:34.360000Z, 2018-01-01T17:42:52.480000Z
2018-01-01T18:29:39.660000Z, 2018-01-01T18:29:56.260000Z
2018-01-01T19:39:20.020000Z, 2018-01-01T19:39:36.400000Z
2018-01-01T20:21:05.760000Z, 2018-01-01T20:21:21.160000Z
2018-01-01T20:32:53.880000Z, 2018-01-01T20:33:07.520000Z
2018-01-02T01:12:20.280000Z, 2018-01-02T01:12:37.520000Z
2018-01-02T02:52:42.220000Z, 2018-01-02T02:53:49.420000Z
2018-01-02T03:08:45.740000Z, 2018-01-02T03:09:00.900000Z
2018-01-02T03:09:33.300000Z, 2018-01-02T03:09:47.820000Z
2018-01-02T16:42:25.040000Z, 2018-01-02T16:42:43.760000Z
2018-01-02T18:55:05.740000Z, 2018-01-02T18:55:18.280000Z
2018-01-02T20:08:10.060000Z, 2018-01-02T20:08:24.100000Z
2018-01-02T20:09:27.960000Z, 2018-01-02T20:09:45.180000Z
2018-01-02T20:52:52.760000Z, 2018-01-02T20:53:11.500000Z
2018-01-02T21:29:41.460000Z, 2018-01-02T21:29:58.000000Z
2018-01-03T00:40:07.400000Z, 2018-01-03T00:40:26.020000Z
2018-01-03T00:40:41.000000Z, 2018-01-03T00:40:55.080000Z
2018-01-03T02:07:34.040000Z, 2018-01-03T02:07:44.480000Z
2018-01-03T02:10:20.720000Z, 2018-01-03T02:10:37.480000Z
2018-01-03T02:11:36.660000Z, 2018-01-03T02:11:49.280000Z
