Tiempo inicio de picado,Tiempo Fin de picado,Amplitud,Excepción
2018-01-17T00:01:20.780000Z,2018-01-17T00:01:54.380000Z,1201.9635676011949,No
2018-01-17T07:13:20.760000Z,2018-01-17T07:14:22.320000Z,3732.195212277357,No
2018-01-17T08:54:42.080000Z,2018-01-17T08:55:09.980000Z,24229.08512348829,No
2018-01-17T12:39:34.020000Z,2018-01-17T12:39:50.860000Z,3856.6515242174833,No
2018-01-17T20:23:39.920000Z,2018-01-17T20:23:58.920000Z,1780.5324704618743,No
2018-01-18T15:41:55.340000Z,2018-01-18T15:42:11.720000Z,1583.2655653728712,No
2018-01-18T15:50:29.180000Z,2018-01-18T15:50:43.200000Z,1135.4777671486365,No
2018-01-18T17:18:50.820000Z,2018-01-18T17:19:05.300000Z,1328.3046722294364,No
2018-01-18T19:18:33.240000Z,2018-01-18T19:18:57.700000Z,72814.54101495737,No
2018-01-19T01:14:35.060000Z,2018-01-19T01:15:16.540000Z,13593.134019418741,No
2018-01-19T12:35:14.820000Z,2018-01-19T12:35:30.140000Z,1908.6333052816294,No
2018-01-19T14:46:39.300000Z,2018-01-19T14:46:56.200000Z,5985.062583664085,No
2018-01-19T16:29:10.760000Z,2018-01-19T16:29:29.460000Z,2639.498428566609,No
2018-01-19T17:09:43.040000Z,2018-01-19T17:10:00.520000Z,4907.141884556326,No
2018-01-19T22:32:21.740000Z,2018-01-19T22:33:36.180000Z,1585.135830726998,No
2018-01-20T02:03:56.500000Z,2018-01-20T02:04:09.400000Z,1836.4588605373572,No
2018-01-20T04:07:23.380000Z,2018-01-20T04:07:41.320000Z,1043.484289779241,No
2018-01-20T05:12:16.640000Z,2018-01-20T05:12:35.220000Z,1703.3020892801067,No
2018-01-20T08:08:28.340000Z,2018-01-20T08:08:40.400000Z,6858.207824936087,No
2018-01-20T09:36:26.960000Z,2018-01-20T09:36:44.560000Z,1747.4060459376358,No
2018-01-20T16:44:35.040000Z,2018-01-20T16:44:54.200000Z,3479.499728700052,No
2018-01-20T17:53:23.820000Z,2018-01-20T17:53:35.020000Z,1485.9738876662711,No
2018-01-20T21:45:44.180000Z,2018-01-20T21:45:59.620000Z,1076.271618464165,No
2018-01-20T22:07:09.560000Z,2018-01-20T22:07:24.120000Z,1220.7364251657987,No
2018-01-21T01:11:12.160000Z,2018-01-21T01:12:25.740000Z,3235.353831644393,No
2018-01-21T07:31:54.600000Z,2018-01-21T07:33:26.880000Z,3325.301012808271,No
2018-01-21T10:24:05.620000Z,2018-01-21T10:24:27.200000Z,1581.2479665836445,Si.
2018-01-21T10:28:40.680000Z,2018-01-21T10:28:56.300000Z,1733.5671693670045,No
2018-01-21T11:09:59.380000Z,2018-01-21T11:10:17.080000Z,1249.506981418226,No
2018-01-21T11:52:25.440000Z,2018-01-21T11:53:07.180000Z,8840.02982432036,Si.
2018-01-21T17:09:44.920000Z,2018-01-21T17:10:02.120000Z,4096.8364641350845,No
2018-01-21T21:21:30.840000Z,2018-01-21T21:21:44.740000Z,1054.474835868179,No
2018-01-21T22:21:56.600000Z,2018-01-21T22:22:17.080000Z,1204.959312487261,No
2018-01-22T10:25:22.540000Z,2018-01-22T10:25:38.440000Z,1110.741705717029,No
2018-01-22T19:18:32.980000Z,2018-01-22T19:18:46.900000Z,2409.3177290882336,No
2018-01-23T09:43:52.220000Z,2018-01-23T09:45:11.620000Z,1462.6318019876824,No
2018-01-23T13:46:34.060000Z,2018-01-23T13:48:03.860000Z,1444.2541893565606,No
2018-01-23T23:55:36.080000Z,2018-01-23T23:56:51.580000Z,5514.425164008821,No
2018-01-25T15:02:28.980000Z,2018-01-25T15:03:10.220000Z,35316.33297149976,No
2018-01-25T17:23:03.180000Z,2018-01-25T17:23:20.460000Z,2389.447826268494,No
2018-01-25T19:02:57.400000Z,2018-01-25T19:03:15.020000Z,1389.255574365253,No
2018-01-26T01:35:13.660000Z,2018-01-26T01:35:30.080000Z,4702.174881008838,No
2018-01-26T01:35:47.120000Z,2018-01-26T01:36:02.720000Z,9546.05335632418,No
2018-01-26T07:32:39.400000Z,2018-01-26T07:32:57.180000Z,3101.325390894152,No
2018-01-26T11:26:32.300000Z,2018-01-26T11:26:46.580000Z,1050.7852648642152,No
2018-01-27T01:58:51.900000Z,2018-01-27T01:59:10.420000Z,1101.9609451482079,No
